well_name,Intensity_sum_22_SE,Nuclei_Intensity_mean_00_EU,mapobject_id_cell,mapobject_id
K18,9371670.79521385,363.66691849643735,331965,332021
K18,18160331.78805796,223.08876910187936,331967,332023
K18,17826168.670754116,181.40341524599162,331969,332025
K18,14114856.104238002,287.32851260923576,331970,332026
K18,4651773.928473114,487.5976689742868,255371,255386
K18,16310613.714402672,226.31929409011715,255372,255387
K18,17573371.206877176,178.45406798032616,255373,255388
K18,18788286.867164917,295.9516129983526,255376,255391
K18,10341949.639739737,176.55408190083196,255377,255392
K18,9307501.84679359,198.60623182548343,255380,255395
K18,14294176.427475078,136.485080238586,232448,232463
K18,19270054.901982635,341.4753819079904,232450,232465
K18,4866202.920063552,220.84414998537403,232455,232470
K18,14091249.56866923,237.78253147412426,346581,346588
K18,10577753.496657208,334.2433386137235,321744,321755
K18,11380262.316275392,186.5463072315625,321745,321756
K18,10462726.549497753,191.0965408884579,321746,321757
K18,13455764.408704346,225.5011767760252,321747,321758
K18,12967883.162804477,261.00884336377555,321748,321759
K18,11904324.91734895,245.56513304214943,321749,321760
K18,19466386.091499392,258.87461912749984,256399,256475
K18,13947389.32157268,350.74039584713233,256400,256476
K18,12210238.340566685,339.0268321729337,256401,256477
K18,13809098.014902202,737.9659356682188,283020,283102
K18,13345966.433500685,824.0474381893351,283021,283103
K18,4816992.785025335,227.88296173813836,283026,283108
K18,17432660.384340294,110.76415969937595,302357,302366
K18,13787907.382783968,170.7264480979913,195429,195442
K18,11874629.85553973,189.9546177777953,195430,195443
K18,11252764.105432304,185.966690133897,195432,195445
K18,10571781.972552635,199.2736334314739,195435,195448
K18,10914932.579823717,251.9638843852466,278414,278428
K18,16826276.64584515,345.9832303131094,278415,278429
K18,11961153.2360541,212.02402029597374,278417,278431
K18,10675784.829959497,219.6479614772881,278418,278432
K18,12302451.075369095,246.45608273637276,278419,278433
K18,11249667.662971893,375.7778234192256,226171,226189
K18,11689659.111829981,117.51135071071437,226172,226190
K18,12538130.103249667,288.78671242628985,226173,226191
K18,9084531.297904722,396.75455659353094,226177,226195
K18,11862115.443555562,206.02056438988254,226178,226196
K18,17488203.686448522,330.86568842895304,226180,226198
K18,15879594.703779073,259.0357010565772,374483,374494
K18,10008223.624754822,280.01779386926154,374484,374495
K18,10495163.033564359,277.82059279167385,374486,374497
K18,15031628.848510329,201.79418033771967,374488,374499
K18,14733525.669069361,119.68880380473101,374489,374500
K18,7315485.293831422,295.78070409052947,374491,374502
K18,14155169.862464536,250.97212574915494,291504,291516
K18,11395747.739613757,264.5161091798762,291505,291517
K18,8845302.469373446,267.87698226807566,291507,291519
K18,19300607.711868577,152.48362798759524,327607,327613
K18,14768131.007479709,255.1853588042129,327608,327614
K18,7449134.445433412,333.9984896224964,327610,327616
K18,17995072.99424152,203.45609177588813,311243,311254
K18,18485555.781629123,303.63187573145353,199537,199551
K18,12492666.043457154,262.9883126052329,199539,199553
K18,11720391.338370254,231.9734354025156,199541,199555
K18,14462166.006991098,336.20733439536417,199542,199556
K18,4619256.967808762,239.23657812365863,199543,199557
K18,9724087.650542619,230.85801235416446,205705,205715
K18,13933935.280085647,280.5077873406891,205710,205720
K18,7008012.91248079,170.87288601503263,205711,205721
K18,11238838.844365453,276.8743314551185,300730,300746
K18,17359016.470501613,230.16689178362014,300731,300747
K18,18804102.02379529,206.15608130455308,300732,300748
K18,9975120.449272472,281.38672322607283,300733,300749
K18,11957644.376116464,195.96844905687485,300734,300750
K18,17688201.47806209,199.67199359494563,300735,300751
K18,9598254.763410496,314.0898647105346,336838,336854
K18,11170682.792285787,195.63562321224737,336839,336855
K18,9568689.949261965,190.85492860364056,336842,336858
K18,17478967.943235867,348.19927352899157,336843,336859
K18,16896232.28309186,184.23905376369473,336844,336860
K18,17154402.212110106,267.38568630418484,336845,336861
K18,13677621.330059815,247.9598948050199,367018,367061
K18,17720276.319163267,279.5086185305353,367020,367063
K18,16002736.341096295,302.9981914961078,367023,367066
K18,15051395.787400603,243.1067224348812,367024,367067
K18,13247746.45181465,297.175870551203,367025,367068
K18,12341179.18372333,194.39224447225308,367026,367069
K18,11771157.621884588,194.4948368704473,262612,262654
K18,8833285.165949421,230.5996633595924,262613,262655
K18,10817697.583528548,247.7584721979352,262614,262656
K18,14145099.049119161,177.36837473250495,262615,262657
K18,7162140.04682795,255.9280227107994,262616,262658
K18,10436939.31888881,223.3712908281121,262618,262660
K18,11626594.157834165,280.73626161611304,262619,262661
K18,9857593.3089591,259.9961590065427,262621,262663
K18,18808130.26885754,126.60181835598917,262622,262664
K18,21483583.591275513,131.35830944490687,193414,193431
K18,12372295.931862809,276.43111702912176,193415,193432
K18,11653661.989865096,162.61286183088836,193417,193434
K18,5758076.887338461,205.78663904579722,193419,193436
K18,17302491.394038845,140.830059128145,193716,193728
K18,15296794.421529148,183.42111579423775,193718,193730
K18,18822573.911600143,189.66456812840863,343465,343476
K18,12412062.20839694,247.9949752158104,343466,343477
K18,19470322.822026547,156.6807966188654,343468,343479
K18,19788307.53421642,322.2756954103775,237592,237607
K18,9619686.022562882,228.02635697584446,237593,237608
K18,11643900.038075658,332.1081457942022,237594,237609
