treatment,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
AZD4573 (1h) - Unperturbed,all,7,2.1256106813197655e-5,unnormalised,01_CDK9_pT186,NA,0.43115150979752903,0.36566971699099454,0.5083593630075384,-1.2137331628738985,-1.4513869403325768,-0.9760793854152201
AZD4573 (1h) - Unperturbed,Cajal bodies,7,1.3210224178931195e-5,unnormalised,01_CDK9_pT186,NA,0.39529614850315475,0.3337880308218102,0.46813855079436834,-1.3389941963007137,-1.5829958723127204,-1.0949925202887072
AZD4573 (1h) - Unperturbed,Cajal bodies - all,7,7.130718040621191e-4,relative_to_all,01_CDK9_pT186,7,0.9168381404689685,0.8900088884076329,0.944476158347754,-0.1252610334268151,-0.16810835072115723,-0.08241371613247295
AZD4573 (1h) - Unperturbed,all,7,2.167411083673329e-5,unnormalised,01_CDK9_pT186,NA,0.43117076219718986,0.3655110707830048,0.5086254317152406,-1.2136687430104147,-1.452012990975431,-0.9753244950453983
AZD4573 (1h) - Unperturbed,Nuclear periphery,7,1.0589139677804038e-4,unnormalised,01_CDK9_pT186,NA,0.5815341656805534,0.5076029400102536,0.6662333079610335,-0.7820641410049679,-0.9782276696682929,-0.5859006123416428
AZD4573 (1h) - Unperturbed,Nuclear periphery - all,7,2.4314033275503512e-6,relative_to_all,01_CDK9_pT186,7,1.3487328378137964,1.292774948753575,1.4071128695300885,0.4316046020054469,0.37047114709223217,0.49273805691866146
AZD4573 (1h) - Unperturbed,all,7,2.150877382280663e-5,unnormalised,01_CDK9_pT186,NA,0.4311080825511601,0.36551762168512186,0.5084684508071228,-1.21387848401288,-1.45198713438705,-0.9757698336387098
AZD4573 (1h) - Unperturbed,Nuclear speckles,7,4.698837901616058e-6,unnormalised,01_CDK9_pT186,NA,0.3402600263401494,0.2875445802056191,0.40263977655989447,-1.5552904210696499,-1.7981424495933362,-1.312438392545964
AZD4573 (1h) - Unperturbed,Nuclear speckles - all,7,2.336248162368842e-7,relative_to_all,01_CDK9_pT186,7,0.7892684923154284,0.7707065868886328,0.8082774476817661,-0.34141193705677003,-0.37574637379778014,-0.30707750031576003
AZD4573 (1h) - Unperturbed,all,7,2.134587930745524e-5,unnormalised,01_CDK9_pT186,NA,0.43112365672022285,0.36560295264985726,0.5083865051872937,-1.213826366292198,-1.4516503730797132,-0.9760023595046832
