treatment,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
AZD4573 (1h) - Unperturbed,all,7,2.139407813056006e-5,unnormalised,01_CDK9_pT186,NA,0.43114663463886127,0.36560563422688236,0.5084369691224736,-1.2137494759490894,-1.4516397914264192,-0.9758591604717595
AZD4573 (1h) - Unperturbed,0,7,1.5949973906603156e-5,unnormalised,01_CDK9_pT186,NA,0.46779970170926416,0.4056985151980044,0.5394068568687553,-1.096037153125843,-1.301520072403309,-0.8905542338483772
AZD4573 (1h) - Unperturbed,0 - all,7,0.011358268828579102,relative_to_all,01_CDK9_pT186,7,1.0850129958711248,1.0352391034965172,1.137179997580331,0.11771232282324644,0.04996401756964086,0.18546062807685199
AZD4573 (1h) - Unperturbed,all,7,2.134587930745524e-5,unnormalised,01_CDK9_pT186,NA,0.43112365672022285,0.36560295264985726,0.5083865051872937,-1.213826366292198,-1.4516503730797132,-0.9760023595046832
AZD4573 (1h) - Unperturbed,1,7,2.4556089950022287e-4,unnormalised,01_CDK9_pT186,NA,0.5398998292401943,0.45241758095721696,0.6442981835428627,-0.8892363343964769,-1.1442731013090486,-0.6341995674839053
AZD4573 (1h) - Unperturbed,1 - all,7,2.5053929447216445e-6,relative_to_all,01_CDK9_pT186,7,1.2523085217533343,1.2128579742161283,1.2930422745248475,0.32459003189572105,0.27841062062289124,0.370769443168551
AZD4573 (1h) - Unperturbed,all,7,2.123501634107943e-5,unnormalised,01_CDK9_pT186,NA,0.43130833361189125,0.36583784063601127,0.5084954533944812,-1.2132085032193163,-1.4507237861363869,-0.9756932203022455
AZD4573 (1h) - Unperturbed,2,7,2.9185277505968253e-5,unnormalised,01_CDK9_pT186,NA,0.6130032779968209,0.5543591544420153,0.6778512013805892,-0.7060333062288698,-0.8511071322441428,-0.5609594802135968
AZD4573 (1h) - Unperturbed,2 - all,7,3.195142057594708e-5,relative_to_all,01_CDK9_pT186,7,1.4212646272409521,1.3208908546823623,1.5292657477987575,0.5071751969904463,0.40151126150228794,0.6128391324786048
AZD4573 (1h) - Unperturbed,all,7,2.150877382280663e-5,unnormalised,01_CDK9_pT186,NA,0.4311080825511601,0.36551762168512186,0.5084684508071228,-1.21387848401288,-1.45198713438705,-0.9757698336387098
AZD4573 (1h) - Unperturbed,3,7,4.698837901616058e-6,unnormalised,01_CDK9_pT186,NA,0.3402600263401494,0.2875445802056191,0.40263977655989447,-1.5552904210696499,-1.7981424495933362,-1.312438392545964
AZD4573 (1h) - Unperturbed,3 - all,7,2.336248162368842e-7,relative_to_all,01_CDK9_pT186,7,0.7892684923154284,0.7707065868886328,0.8082774476817661,-0.34141193705677003,-0.37574637379778014,-0.30707750031576003
AZD4573 (1h) - Unperturbed,all,7,2.1514168897294497e-5,unnormalised,01_CDK9_pT186,NA,0.43112189958419606,0.36552933919701647,0.5084847435486041,-1.2138322463142255,-1.4519408862054477,-0.975723606423003
AZD4573 (1h) - Unperturbed,4,7,0.003339595588008143,unnormalised,01_CDK9_pT186,NA,0.778140942056985,0.6950481650140744,0.8711674329692979,-0.3618966054975755,-0.5248151386062594,-0.19897807238889148
AZD4573 (1h) - Unperturbed,4 - all,7,7.316808156180992e-7,relative_to_all,01_CDK9_pT186,7,1.8049209349083826,1.6826832355951888,1.9360385320046534,0.8519356408166499,0.7507636154986661,0.9531076661346335
AZD4573 (1h) - Unperturbed,all,7,2.1693376344999266e-5,unnormalised,01_CDK9_pT186,NA,0.4310707237107862,0.3654014738476995,0.5085419248144362,-1.2140035100826072,-1.452445641796403,-0.9755613783688117
AZD4573 (1h) - Unperturbed,5,7,4.9874559292803575e-6,unnormalised,01_CDK9_pT186,NA,0.5015168460424514,0.44985255242727323,0.5591146376901585,-0.9956299328460863,-1.152475886200472,-0.8387839794917006
AZD4573 (1h) - Unperturbed,5 - all,7,0.0025463088263578265,relative_to_all,01_CDK9_pT186,7,1.1634212635115737,1.0904363755909825,1.241291162592852,0.21837357723652093,0.12490559455711302,0.3118415599159287
AZD4573 (1h) - Unperturbed,all,7,2.167411083673329e-5,unnormalised,01_CDK9_pT186,NA,0.43117076219718986,0.3655110707830048,0.5086254317152406,-1.2136687430104147,-1.452012990975431,-0.9753244950453983
AZD4573 (1h) - Unperturbed,6,7,1.0589139677804038e-4,unnormalised,01_CDK9_pT186,NA,0.5815341656805534,0.5076029400102536,0.6662333079610335,-0.7820641410049679,-0.9782276696682929,-0.5859006123416428
AZD4573 (1h) - Unperturbed,6 - all,7,2.4314033275503512e-6,relative_to_all,01_CDK9_pT186,7,1.3487328378137964,1.292774948753575,1.4071128695300885,0.4316046020054469,0.37047114709223217,0.49273805691866146
AZD4573 (1h) - Unperturbed,all,7,2.1544563510805393e-5,unnormalised,01_CDK9_pT186,NA,0.4312554545143888,0.36565186910172703,0.508629335070268,-1.2133853908023082,-1.4514573582221382,-0.9753134233824781
AZD4573 (1h) - Unperturbed,7,7,6.634477746871633e-6,unnormalised,01_CDK9_pT186,NA,0.5374194703589666,0.4852721659610944,0.5951705195143371,-0.8958795046835071,-1.0431339819138346,-0.74862502745318
AZD4573 (1h) - Unperturbed,7 - all,7,3.813033195568776e-4,relative_to_all,01_CDK9_pT186,7,1.2461743143959136,1.1644679065456878,1.3336137588083847,0.31750588611880093,0.21967087853081568,0.4153408937067863
AZD4573 (1h) - Unperturbed,all,7,2.168188005740324e-5,unnormalised,01_CDK9_pT186,NA,0.43110469539216756,0.36544078350104575,0.5085673706384273,-1.2138898191208864,-1.4522904459482535,-0.9754891922935195
AZD4573 (1h) - Unperturbed,8,7,1.2725279961759581e-5,unnormalised,01_CDK9_pT186,NA,0.39170341586096946,0.33052109370025007,0.4642111166928996,-1.3521663854800066,-1.5971857480994687,-1.1071470228605447
AZD4573 (1h) - Unperturbed,8 - all,7,3.2513230714359894e-5,relative_to_all,01_CDK9_pT186,7,0.9086039192977113,0.8905930717211098,0.9269790080083706,-0.1382765663591202,-0.16716170636331185,-0.10939142635492836
AZD4573 (1h) - Unperturbed,all,7,2.1256106813197655e-5,unnormalised,01_CDK9_pT186,NA,0.43115150979752903,0.36566971699099454,0.5083593630075384,-1.2137331628738985,-1.4513869403325768,-0.9760793854152201
AZD4573 (1h) - Unperturbed,9,7,1.3210224178931195e-5,unnormalised,01_CDK9_pT186,NA,0.39529614850315475,0.3337880308218102,0.46813855079436834,-1.3389941963007137,-1.5829958723127204,-1.0949925202887072
AZD4573 (1h) - Unperturbed,9 - all,7,7.130718040621191e-4,relative_to_all,01_CDK9_pT186,7,0.9168381404689685,0.8900088884076329,0.944476158347754,-0.1252610334268151,-0.16810835072115723,-0.08241371613247295
AZD4573 (1h) - Unperturbed,all,7,0.04657309497864491,unnormalised,01_PABPC1,NA,0.7900480663853662,0.6524090841344984,0.9567247948843368,-0.33998766561498184,-0.6161512246331662,-0.06382410659679745
AZD4573 (1h) - Unperturbed,0,7,0.0197512095636491,unnormalised,01_PABPC1,NA,0.7460949516614538,0.6164186784597189,0.9030512804797867,-0.4225688483559593,-0.6980175164335438,-0.14712018027837492
AZD4573 (1h) - Unperturbed,0 - all,7,0.0011585015129046974,relative_to_all,01_PABPC1,7,0.9443665308555123,0.9244811791041065,0.9646796113949291,-0.08258118274097762,-0.11328414582529162,-0.051878219656663366
AZD4573 (1h) - Unperturbed,all,7,0.04656745382583675,unnormalised,01_PABPC1,NA,0.7898918477646529,0.6521795853414806,0.9566830136799958,-0.34027296232546245,-0.6166588126288909,-0.06388711202203402
AZD4573 (1h) - Unperturbed,1,7,0.01758485317789837,unnormalised,01_PABPC1,NA,0.7748856840195238,0.6591214270302717,0.9109821023476274,-0.367944604194387,-0.6013838238317402,-0.1345053845570342
AZD4573 (1h) - Unperturbed,1 - all,7,0.345363022680071,relative_to_all,01_PABPC1,7,0.9810022551978531,0.9452190384462255,1.0181401194428266,-0.027671641868924627,-0.08127940675700411,0.02593612301915476
AZD4573 (1h) - Unperturbed,all,7,0.04642474869029097,unnormalised,01_PABPC1,NA,0.7898653201889289,0.6522480368407209,0.9565183623381494,-0.3403214143315351,-0.6165073981128124,-0.06413543055025749
AZD4573 (1h) - Unperturbed,2,7,0.04833856516698869,unnormalised,01_PABPC1,NA,0.8089261525737549,0.6796919511538897,0.9627324837478075,-0.30592009084583266,-0.5570470562261358,-0.054793125465529745
AZD4573 (1h) - Unperturbed,2 - all,7,0.4841232104936041,relative_to_all,01_PABPC1,7,1.0241317499295535,0.9613435111474643,1.091020877606863,0.03440132348570225,-0.056876062143551794,0.12567870911495657
AZD4573 (1h) - Unperturbed,all,7,0.04655849628419369,unnormalised,01_PABPC1,NA,0.7898540239767379,0.6521297742833975,0.9566644612689145,-0.3403420470969301,-0.616769004533875,-0.06391508965998509
AZD4573 (1h) - Unperturbed,3,7,0.0521941674754923,unnormalised,01_PABPC1,NA,0.8048988278867314,0.6708676631861712,0.9657077821526285,-0.31312064045388366,-0.575899889556704,-0.05034139135106347
AZD4573 (1h) - Unperturbed,3 - all,7,0.01421662753650994,relative_to_all,01_PABPC1,7,1.0190475751889525,1.0074888227566972,1.030738939273836,0.027221406643046564,0.010763833350828651,0.04367897993526442
AZD4573 (1h) - Unperturbed,all,7,0.0465281477671734,unnormalised,01_PABPC1,NA,0.7899826397168687,0.6523452020927526,0.9566600153599338,-0.34010714522999524,-0.6162924961444001,-0.06392179431559052
AZD4573 (1h) - Unperturbed,4,7,0.05886719188320189,unnormalised,01_PABPC1,NA,0.7866514114479386,0.6384867726232761,0.9691985326345268,-0.34620361847532044,-0.6472713626155446,-0.045135874335096214
