treatment,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
AZD4573 (2.5h) - Unperturbed,all,6,7.69744637643195e-5,unnormalised,01_CDK9_pT186,NA,0.38623708829873016,0.3174876822481007,0.46987362571409963,-1.372441389595254,-1.6552274749846272,-1.089655304205881
AZD4573 (2.5h) - Unperturbed,0,6,4.7741116922310507e-5,unnormalised,01_CDK9_pT186,NA,0.4293488133634203,0.36579421327148776,0.5039456526332801,-1.2197778904362568,-1.4508958425196017,-0.9886599383529117
AZD4573 (2.5h) - Unperturbed,0 - all,6,0.012318733890140873,relative_to_all,01_CDK9_pT186,6,1.1116198479399937,1.0482469775653414,1.1788239916552574,0.1526634991589975,0.06797867043445324,0.23734832788354182
AZD4573 (2.5h) - Unperturbed,all,6,7.838359943707188e-5,unnormalised,01_CDK9_pT186,NA,0.38613456458511436,0.31718676063875456,0.470069752177161,-1.3728243929163197,-1.6565955406154327,-1.0890532452172068
AZD4573 (2.5h) - Unperturbed,1,6,0.0011216076773779794,unnormalised,01_CDK9_pT186,NA,0.5278189932876587,0.4257724961232479,0.6543233586289553,-0.9218848286701404,-1.2318453367086504,-0.6119243206316308
AZD4573 (2.5h) - Unperturbed,1 - all,6,4.516213597577439e-6,relative_to_all,01_CDK9_pT186,6,1.3669301888443435,1.3140471805480454,1.4219414407896251,0.45093956424617937,0.3940170762087278,0.5078620522836308
AZD4573 (2.5h) - Unperturbed,all,6,7.806433348983464e-5,unnormalised,01_CDK9_pT186,NA,0.38634505036880135,0.3174403044454068,0.4702065108123085,-1.3720381797970616,-1.6554427804131298,-1.0886335791809931
AZD4573 (2.5h) - Unperturbed,2,6,1.7617107860280797e-4,unnormalised,01_CDK9_pT186,NA,0.5926389766749766,0.5230563602247652,0.6714782256417616,-0.7547745823132033,-0.9349616871609674,-0.5745874774654389
AZD4573 (2.5h) - Unperturbed,2 - all,6,3.803300894097713e-5,relative_to_all,01_CDK9_pT186,6,1.5339629072748544,1.4189815686991623,1.6582612859815031,0.6172635974838583,0.5048558502025446,0.7296713447651718
AZD4573 (2.5h) - Unperturbed,all,6,7.873715636386236e-5,unnormalised,01_CDK9_pT186,NA,0.38612505494052285,0.31712780532875723,0.47013398241211257,-1.372859923757883,-1.6568637183877102,-1.0888561291280554
AZD4573 (2.5h) - Unperturbed,3,6,1.1511407413232982e-5,unnormalised,01_CDK9_pT186,NA,0.27033321047580333,0.22271547569289138,0.3281318662692624,-1.887189336823145,-2.1667262856181044,-1.607652388028185
AZD4573 (2.5h) - Unperturbed,3 - all,6,1.8737604187335145e-8,relative_to_all,01_CDK9_pT186,6,0.7001182829677923,0.6877134755326569,0.7127468452848333,-0.5143294130652619,-0.5401204798546553,-0.4885383462758688
AZD4573 (2.5h) - Unperturbed,all,6,7.789000513434574e-5,unnormalised,01_CDK9_pT186,NA,0.3861923657969798,0.31731351919552614,0.4700226570175428,-1.3726084493344222,-1.6560191060590124,-1.089197792609832
AZD4573 (2.5h) - Unperturbed,4,6,0.005053636244806529,unnormalised,01_CDK9_pT186,NA,0.7476106597657418,0.6549232816400588,0.8534155286031612,-0.41964095506922794,-0.6106021770614448,-0.22867973307701112
AZD4573 (2.5h) - Unperturbed,4 - all,6,4.901894637463727e-6,relative_to_all,01_CDK9_pT186,6,1.9358504361496325,1.7788965972527364,2.1066524703730685,0.9529674942651941,0.8309826528387461,1.0749523356916424
AZD4573 (2.5h) - Unperturbed,all,6,7.828830093961546e-5,unnormalised,01_CDK9_pT186,NA,0.3860888883240266,0.31715486718715225,0.47000580823285953,-1.372995060914517,-1.65674061236379,-1.089249509465244
AZD4573 (2.5h) - Unperturbed,5,6,5.3305388434221113e-5,unnormalised,01_CDK9_pT186,NA,0.49589873271371687,0.43306534272164343,0.5678486104697018,-1.0118825563881113,-1.2073433736115355,-0.816421739164687
AZD4573 (2.5h) - Unperturbed,5 - all,6,7.478470417137722e-4,relative_to_all,01_CDK9_pT186,6,1.2844159666608481,1.1881389678528882,1.38849446070654,0.36111250452640575,0.24870358740714057,0.47352142164567096
AZD4573 (2.5h) - Unperturbed,all,6,7.905754324211342e-5,unnormalised,01_CDK9_pT186,NA,0.38615864349435236,0.3171163770510947,0.47023272444037767,-1.3727344309107097,-1.656915709466129,-1.0885531523552903
AZD4573 (2.5h) - Unperturbed,6,6,4.3661272696573567e-4,unnormalised,01_CDK9_pT186,NA,0.55820982466606,0.4736982362785334,0.6577989624822973,-0.8411205783797113,-1.0779597945470099,-0.6042813622124128
AZD4573 (2.5h) - Unperturbed,6 - all,6,6.680705360055357e-6,relative_to_all,01_CDK9_pT186,6,1.4455453323919292,1.3754215037139987,1.5192443206374346,0.5316138525309986,0.4598738063687717,0.6033538986932254
AZD4573 (2.5h) - Unperturbed,all,6,7.898296578767856e-5,unnormalised,01_CDK9_pT186,NA,0.38613020386590996,0.3170985839061756,0.470189846012193,-1.372840685742894,-1.6569966601958455,-1.088684711289943
AZD4573 (2.5h) - Unperturbed,7,6,7.649811179500901e-5,unnormalised,01_CDK9_pT186,NA,0.5372832244835568,0.4727957172339376,0.6105665783106355,-0.8962453011978206,-1.0807111278011556,-0.7117794745944859
AZD4573 (2.5h) - Unperturbed,7 - all,6,1.5917810412395433e-4,relative_to_all,01_CDK9_pT186,6,1.3914560920236563,1.2877642603947073,1.5034972747545459,0.4765953845450734,0.36486851621093147,0.5883222528792154
AZD4573 (2.5h) - Unperturbed,all,6,7.867019681487084e-5,unnormalised,01_CDK9_pT186,NA,0.38614947705837266,0.31716137896627555,0.4701436824321224,-1.3727686772726972,-1.6567109914562197,-1.0888263630891748
AZD4573 (2.5h) - Unperturbed,8,6,5.485892532260786e-5,unnormalised,01_CDK9_pT186,NA,0.3441465509676301,0.2797736513531145,0.4233309604750138,-1.5389050435336995,-1.8376679967597682,-1.2401420903076312
AZD4573 (2.5h) - Unperturbed,8 - all,6,1.250581968608428e-4,relative_to_all,01_CDK9_pT186,6,0.8912262515264441,0.868476595490446,0.9145718324871248,-0.16613636626100245,-0.20344112450648622,-0.12883160801551857
AZD4573 (2.5h) - Unperturbed,all,6,7.710482718232176e-5,unnormalised,01_CDK9_pT186,NA,0.3862390362051229,0.3174710481611007,0.46990298470605907,-1.3724341136813358,-1.6553030638809785,-1.089565163481693
AZD4573 (2.5h) - Unperturbed,9,6,5.169556992047957e-5,unnormalised,01_CDK9_pT186,NA,0.3642993699752632,0.30005500407144214,0.4422990090602685,-1.4568035948227238,-1.7367011047417964,-1.1769060849036515
AZD4573 (2.5h) - Unperturbed,9 - all,6,0.010398982930290757,relative_to_all,01_CDK9_pT186,6,0.9431966627572878,0.9142290883457415,0.9730820819169232,-0.0843694811413882,-0.1293723724838913,-0.03936658979888503
