treatment,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
DMSO - Untreated,all,4,0.9877479124506503,unnormalised,01_CDK9_pT186,NA,0.9980294063515274,0.7877147563026946,1.2644966822985677,-0.002845770534738301,-0.34425479282928156,0.3385632517598049
DMSO - Untreated,Cajal bodies,4,0.8889653085465266,unnormalised,01_CDK9_pT186,NA,0.9829693601428343,0.78384521934435325,1.2326780072573695,-0.024781647455701734,-0.3513592917328217,0.3017959968214182
DMSO - Untreated,Cajal bodies - all,4,0.3832943726454194,relative_to_all,01_CDK9_pT186,4,0.9849102179626673,0.9553620206747689,1.0153723054242068,-0.021935876920963472,-0.0658805696306865,0.022008815788759545
DMSO - Untreated,all,4,0.9902564716734168,unnormalised,01_CDK9_pT186,NA,0.998432366880494,0.7880059894796299,1.2650502718803949,-0.0022633910747325413,-0.3437214995207867,0.3391947173713217
DMSO - Untreated,Nuclear periphery,4,0.749537770157182,unnormalised,01_CDK9_pT186,NA,0.9667823432298436,0.7966333532339059,1.173272617053672,-0.04873697011584517,-0.3280122115475124,0.23053827131582222
DMSO - Untreated,Nuclear periphery - all,4,0.27669732348556036,relative_to_all,01_CDK9_pT186,4,0.9683002828228237,0.9209165396971757,1.0181220526488453,-0.046473579041112684,-0.11885768039589187,0.025910522313666518
DMSO - Untreated,all,4,0.9885646304680648,unnormalised,01_CDK9_pT186,NA,0.9981641682602689,0.7881773852395146,1.2640957802867498,-0.002650979468170245,-0.3434077393101972,0.33810578037385686
DMSO - Untreated,Nuclear speckles,4,0.9475387093902421,unnormalised,01_CDK9_pT186,NA,1.0081050210387872,0.8042176130715242,1.2636825119536765,0.011645941853201372,-0.3143421621155564,0.3376340458219591
DMSO - Untreated,Nuclear speckles - all,4,0.3546909787292506,relative_to_all,01_CDK9_pT186,4,1.009959136076628,0.991374662627114,1.028891997140246,0.014296921321371526,-0.012497707744776595,0.04109155038751974
DMSO - Untreated,all,4,0.9879851805871682,unnormalised,01_CDK9_pT186,NA,0.9980674925678704,0.7877407042211761,1.2645515388284765,-0.002790716298162158,-0.34420727014869035,0.33862583755236597
DMSO - Untreated,Nucleolus,4,0.8208331719453508,unnormalised,01_CDK9_pT186,NA,1.0327346145701117,0.7954172500285638,1.3408569956120229,0.04646956743321038,-0.3302162450137779,0.4231553798801987
DMSO - Untreated,Nucleolus - all,4,0.15744224807830695,relative_to_all,01_CDK9_pT186,4,1.034734246191155,0.9956203433732993,1.0753847763025646,0.04926028373137243,-0.006332385878250025,0.10485295334099501
DMSO - Untreated,all,4,0.9875158461677935,unnormalised,01_CDK9_pT186,NA,0.9979911839224278,0.7875981017342324,1.2645871047604118,-0.002901023781311118,-0.3444684608214731,0.33866641325885094
DMSO - Untreated,Nucleoplasm,4,0.8243666117383804,unnormalised,01_CDK9_pT186,NA,1.0328593539251687,0.7904545370197275,1.3496012674086184,0.04664381353569511,-0.3392456065002102,0.43253323357160034
DMSO - Untreated,Nucleoplasm - all,4,0.13114660558671687,relative_to_all,01_CDK9_pT186,4,1.0349383547314495,0.9988042891494924,1.0723796540824893,0.04954483731700638,-0.001726078265394254,0.1008157528994066
DMSO - Untreated,all,4,0.9887938952570985,unnormalised,01_CDK9_pT186,NA,0.9981949478604325,0.7875808105544237,1.2651313244067903,-0.0026064929064474134,-0.34450013455601514,0.33928714874312027
DMSO - Untreated,PML bodies,4,0.8819702865129427,unnormalised,01_CDK9_pT186,NA,1.0196799537339925,0.8009371904854732,1.298163227277202,0.0281164055158338,-0.3202389839987576,0.3764717950304251
