treatment,reference_level,df,p.value,comparison,channel,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl,cluster
AZD4573 (1h),Unperturbed,7,2.1526841061575952e-5,unnormalised,01_CDK9_pT186,0.43108106358619297,0.3654825353845664,0.5084535248368824,-1.213968905301423,-1.452125626373307,-0.9758121842295387,all
AZD4573 (1h),Unperturbed,7,0.04655159755605491,unnormalised,01_PABPC1,0.7898798367862325,0.6521736206311216,0.9566626689955273,-0.34029489989931966,-0.6166720073034866,-0.06391779249515284,all
AZD4573 (1h),Unperturbed,7,0.04859012346351205,unnormalised,02_CDK7,0.8665060538805341,0.7702172216327641,0.9748324502793431,-0.20671826601788418,-0.37666271352548886,-0.036773818510279256,all
AZD4573 (1h),Unperturbed,7,2.662857858073851e-6,unnormalised,03_CDK9,0.38399700948681326,0.33470010266878447,0.440554699921124,-1.3808330193975562,-1.5790591013181827,-1.18260693747693,all
AZD4573 (1h),Unperturbed,7,0.06083738351334342,unnormalised,03_RPS6,0.8860141195742922,0.7966665319820367,0.985382200168425,-0.17459840504894314,-0.32795212641747223,-0.021244683680413802,all
AZD4573 (1h),Unperturbed,7,0.006334690473445727,unnormalised,05_GTF2B,0.8156157338516463,0.7351297961129671,0.9049137020751831,-0.29403848857306764,-0.4439290970793807,-0.1441478800667544,all
AZD4573 (1h),Unperturbed,7,0.1002968499063567,unnormalised,05_Sm,0.8870746332576018,0.7835504755740959,1.0042765967215548,-0.17287260535424548,-0.35190188015777923,0.006156669449288154,all
AZD4573 (1h),Unperturbed,7,0.0027214844968482684,unnormalised,07_POLR2A,0.7583862354810372,0.6727383530343335,0.8549381487957864,-0.3989953149648185,-0.5718825858556511,-0.22610804407398558,all
AZD4573 (1h),Unperturbed,7,0.027336248576151637,unnormalised,07_SETD1A,0.8368024141211734,0.7379914543051702,0.9488433452638126,-0.2570410812140507,-0.43832398443222415,-0.07575817799587715,all
AZD4573 (1h),Unperturbed,7,0.12572324091379458,unnormalised,08_H3K4me3,0.9109519187198749,0.8200218165496503,1.0119650251636656,-0.1345531862552023,-0.28626580197457097,0.017159429464166594,all
AZD4573 (1h),Unperturbed,7,0.0010335675328798344,unnormalised,09_CCNT1,0.7137925412873274,0.6312463596591836,0.8071330379988331,-0.48642326873719505,-0.6637249320037443,-0.30912160547064593,all
AZD4573 (1h),Unperturbed,7,0.22432433702074112,unnormalised,09_SRRM2,1.0592347246553042,0.9732875323765989,1.1527715752979206,0.08302232358219636,-0.03906202034995136,0.20510666751434373,all
AZD4573 (1h),Unperturbed,7,0.02038748132630567,unnormalised,10_H3K27ac,0.8630482707528654,0.7834782677100276,0.9506993982444295,-0.2124868425187729,-0.3520348374221876,-0.07293884761535811,all
AZD4573 (1h),Unperturbed,7,7.794751238563054e-9,unnormalised,10_POL2RA_pS2,0.4728658759968884,0.45155954571688645,0.4951775215543691,-1.0804970603159278,-1.1470118510436569,-1.0139822695881986,all
AZD4573 (1h),Unperturbed,7,0.4098175191700605,unnormalised,11_KPNA2_MAX,0.9465312891840888,0.8370876677840905,1.0702839330749496,-0.079277897458531435,-0.25654937144969003,0.09799357653262722,all
AZD4573 (1h),Unperturbed,7,0.035690504320356996,unnormalised,11_PML,0.7239130066414992,0.5671585991037,0.9239920579762156,-0.46611175728554194,-0.8181758709272506,-0.11404764364383309,all
AZD4573 (1h),Unperturbed,7,0.8185979287579643,unnormalised,12_RB1_pS807_S811,1.0170065138387285,0.8852085062147869,1.168427824550797,0.024328919561918152,-0.17591078042384717,0.22456861954768376,all
AZD4573 (1h),Unperturbed,7,0.6991322465557315,unnormalised,12_YAP1,0.972408808360498,0.8486320498293595,1.1142389575873526,-0.04036513311219184,-0.23678892974358007,0.15605866351919634,all
AZD4573 (1h),Unperturbed,7,0.16886729185375526,unnormalised,13_PABPN1,0.9368790950181045,0.8620000987838476,1.0182625731949508,-0.0940652159168981,-0.21424006024241007,0.026109628408613892,all
AZD4573 (1h),Unperturbed,7,3.781790966626576e-4,unnormalised,13_POL2RA_pS5,0.6256848512941329,0.5416145507441464,0.7228046820401863,-0.6764919200931955,-0.8846615967343591,-0.468322243452032,all
AZD4573 (1h),Unperturbed,7,0.355063966183357,unnormalised,14_PCNA,0.9431968794437124,0.8400999592329549,1.0589458356891437,-0.0843691497021383,-0.25136709781752925,0.08262879841325256,all
AZD4573 (1h),Unperturbed,7,0.933657188704998,unnormalised,15_SON,0.9952277570996895,0.8927519912468066,1.1094663447553768,-0.006901371806674074,-0.16366864820014437,0.14986590458679638,all
AZD4573 (1h),Unperturbed,7,0.6666333548224572,unnormalised,15_U2SNRNPB,0.9784037807240132,0.8895646929068258,1.0761150546645055,-0.03149811618432111,-0.16882856669450877,0.10583233432586649,all
AZD4573 (1h),Unperturbed,7,0.12638685143678977,unnormalised,16_H3,0.9036224219033465,0.8058565529725955,1.0132491674287312,-0.14620802560896443,-0.3114050411628264,0.018988989944897547,all
AZD4573 (1h),Unperturbed,7,0.9677198866307037,unnormalised,17_HDAC3,0.9963658709477271,0.840470314224828,1.1811778857472661,-0.005252489865958578,-0.250731231139138,0.24022625140722073,all
AZD4573 (1h),Unperturbed,7,0.1331779577893204,unnormalised,17_SRSF2,1.3390197868434823,0.9560947244142352,1.8753099915459268,0.4211772796839182,-0.06477453560103001,0.9071290949688662,all
AZD4573 (1h),Unperturbed,7,1.764052363076413e-4,unnormalised,18_NONO,0.6914330791486744,0.6254156820711283,0.7644191161913416,-0.5323384690392061,-0.6771127001165813,-0.38756423796183076,all
AZD4573 (1h),Unperturbed,7,0.4124886741446465,unnormalised,19_KPNA1_MAX,0.9497574246084955,0.8457682246810331,1.0665323421663786,-0.07436900986704172,-0.24166573522557083,0.09292771549148744,all
AZD4573 (1h),Unperturbed,7,0.18459239768922825,unnormalised,20_ALYREF,0.935004521154528,0.8549541146245047,1.0225501458208328,-0.09695475381067441,-0.22608110223395403,0.0321715946126052,all
AZD4573 (1h),Unperturbed,7,0.5985464830210943,unnormalised,20_SP100,0.9754413301598734,0.8929201575826268,1.065588877688672,-0.03587299317848342,-0.1633969155199785,0.09165092916301186,all
AZD4573 (1h),Unperturbed,7,0.0053464690575817176,unnormalised,21_COIL,0.8361353250210067,0.7655428558599174,0.9132372882804527,-0.2581916394985973,-0.38544495138052454,-0.13093832761667037,all
AZD4573 (1h),Unperturbed,7,0.12901703836643827,unnormalised,21_NCL,0.8712042880632981,0.7445725044360492,1.0193727367286467,-0.19891703987704376,-0.4255157535383525,0.027681673784264595,all
AZD4573 (1h),Unperturbed,7,0.25413828225124374,unnormalised,00_DAPI,1.0645219887409407,0.9645217640171655,1.1748900924674208,0.09020575037252072,-0.05211430245499372,0.23252580320003502,all
AZD4573 (1h),Unperturbed,7,0.5693160078126743,unnormalised,07_H2B,0.9535027352270968,0.8155179581511413,1.1148343908290217,-0.06869101781455539,-0.29421144866714044,0.15682941303802972,all
AZD4573 (1h),Unperturbed,7,1.326794047973511e-5,unnormalised,01_CDK9_pT186,0.3958174900029556,0.3342714785238979,0.4686953433301639,-1.3370927326711115,-1.580907831608787,-1.093277633733436,Cajal bodies
AZD4573 (1h),Unperturbed,7,1.0464004119293033e-4,unnormalised,01_CDK9_pT186,0.5827189402736024,0.509025568945845,0.6670811528324541,-0.779127891127273,-0.9741899685178504,-0.5840658137366955,Nuclear periphery
