treatment,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
AZD4573 (1h) - Unperturbed,all,7,0.01134730091175221,unnormalised,NA,NA,1.0530310675351389,1.0221815732939479,1.0848116011530917,0.07454800076789876,0.031651489449142436,0.11744451208665481
AZD4573 (1h) - Unperturbed,0,7,9.491783338575842e-5,unnormalised,NA,NA,0.30468681850340446,0.22729757532951989,0.4084251987076514,-1.7146010080271328,-2.1373458004312713,-1.2918562156229942
AZD4573 (1h) - Unperturbed,0 - all,7,9.018346683604179e-5,relative_to_all,NA,7,0.2893426679391274,0.21363916317648557,0.39187187520001837,-1.7891490087950315,-2.2267519565627394,-1.3515460610273236
AZD4573 (1h) - Unperturbed,all,7,0.011904063717288945,unnormalised,NA,NA,1.0530151015002893,1.0218583290168215,1.0851218534907212,0.07452612649026971,0.031195194130282728,0.11785705885025664
AZD4573 (1h) - Unperturbed,1,7,0.11881880753810611,unnormalised,NA,NA,0.9225415230045293,0.8440461938832021,1.0083368278126352,-0.11631424747091035,-0.24460613640216786,0.011977641460347223
AZD4573 (1h) - Unperturbed,1 - all,7,0.026967370141306908,relative_to_all,NA,7,0.876095244683702,0.798310421562636,0.9614591730557457,-0.19084037396118006,-0.32497824998596225,-0.05670249793639788
AZD4573 (1h) - Unperturbed,all,7,0.011448867134961007,unnormalised,NA,NA,1.0529364552256801,1.0220841572358648,1.0847200505891155,0.07441837226386937,0.031513991019357174,0.11732275350838152
AZD4573 (1h) - Unperturbed,2,7,0.011879866954404452,unnormalised,NA,NA,2.348132162630446,1.4297908405356081,3.8563155511012086,1.2315136116019576,0.5158041152608575,1.9472231079430575
AZD4573 (1h) - Unperturbed,2 - all,7,0.01381123607313905,relative_to_all,NA,7,2.230079651033795,1.3774732083283023,3.6104188596092857,1.157095239338088,0.4620242588415995,1.8521662198345772
AZD4573 (1h) - Unperturbed,all,7,0.011992519065411834,unnormalised,NA,NA,1.052783017496133,1.0217148472424609,1.0847959045712514,0.07420812217617981,0.030992607360136246,0.11742363699222362
AZD4573 (1h) - Unperturbed,3,7,3.8363462166269294e-4,unnormalised,NA,NA,1.3723425618010137,1.244694799024772,1.5130810447719136,0.45664064953126776,0.31579203473384826,0.5974892643286874
AZD4573 (1h) - Unperturbed,3 - all,7,9.293573098834078e-4,relative_to_all,NA,7,1.3035378981177899,1.185558416088899,1.4332579725889527,0.3824325273550879,0.24556675056808253,0.5192983041420933
AZD4573 (1h) - Unperturbed,all,7,0.01128895373007016,unnormalised,NA,NA,1.052881030983505,1.0221534153116794,1.0845323694064675,0.07434242999453868,0.0316117470570108,0.11707311293206665
AZD4573 (1h) - Unperturbed,4,7,1.6696143941811296e-4,unnormalised,NA,NA,1.300821740908123,1.2117885569841234,1.396396419050696,0.379423274793585,0.27713798725761746,0.48170856232955245
AZD4573 (1h) - Unperturbed,4 - all,7,0.0027979075914915806,relative_to_all,NA,7,1.2354878686464836,1.1267811629907167,1.3546821012885595,0.3050808447990462,0.17220735071487134,0.43795433888322116
AZD4573 (1h) - Unperturbed,all,7,0.011678356645046708,unnormalised,NA,NA,1.0527676479251493,1.0218844054479936,1.084584239282881,0.07418706012889374,0.031232009270763725,0.11714211098702404
AZD4573 (1h) - Unperturbed,5,7,0.06780407468714467,unnormalised,NA,NA,1.4952849522184872,1.0376166249314378,2.1548200314145722,0.5804204409310811,0.05327350007811281,1.1075673817840492
AZD4573 (1h) - Unperturbed,5 - all,7,0.09777278952496536,relative_to_all,NA,7,1.4203371039806119,0.9908431365363973,2.036000870930922,0.5062333808021872,-0.013271416944525289,1.0257381785488997
AZD4573 (1h) - Unperturbed,all,7,0.011542293391502638,unnormalised,NA,NA,1.0527965991369848,1.0219733637730033,1.0845494789241792,0.07422673383612317,0.03135759504913927,0.11709587262310756
AZD4573 (1h) - Unperturbed,6,7,0.04822878604263041,unnormalised,NA,NA,0.4651120389567122,0.2482192011506605,0.8715248771232883,-1.104349811833351,-2.0103133745303743,-0.1983862491363278
AZD4573 (1h) - Unperturbed,6 - all,7,0.0406437785173624,relative_to_all,NA,7,0.44178717839512516,0.2331916328578171,0.8369764755381678,-1.1785765456694743,-2.1004120707189995,-0.25674102061994886
AZD4573 (1h) - Unperturbed,all,7,0.011604506004415224,unnormalised,NA,NA,1.0527621777252074,1.0219239325188012,1.0845310179956382,0.07417956383961516,0.0312878124573764,0.11707131522185416
AZD4573 (1h) - Unperturbed,7,7,0.024543793710879856,unnormalised,NA,NA,2.665860714240318,1.3595881195568202,5.227181118680619,1.4146014045363386,0.4431696603937044,2.386033148678973
AZD4573 (1h) - Unperturbed,7 - all,7,0.029846263808009366,relative_to_all,NA,7,2.5322535047760444,1.2958349343080384,4.9483986290851645,1.3404218406967232,0.3738819569402248,2.3069617244532217
AZD4573 (1h) - Unperturbed,all,7,0.011645420809086461,unnormalised,NA,NA,1.0527428094299236,1.021892852487355,1.0845240967375513,0.07415302147212832,0.03124393474038084,0.1170621082038758
AZD4573 (1h) - Unperturbed,8,7,0.658800529472073,unnormalised,NA,NA,0.9554275573854221,0.787049453917264,1.159827775584015,-0.0657816058425456,-0.3454738051779607,0.21391059349286956
