treatment,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
CX5461 (2.5h) - Unperturbed,all,7,0.7816272924641153,unnormalised,NA,NA,1.0056404916225972,0.9678843747600474,1.044869433543297,0.008114645450847025,-0.047093384085545836,0.06332267498724001
CX5461 (2.5h) - Unperturbed,0,7,0.9296325446280882,unnormalised,NA,NA,1.0158473313708554,0.7254629064668283,1.4224652858946332,0.022683600117940777,-0.4630262449295361,0.5083934451654177
CX5461 (2.5h) - Unperturbed,0 - all,7,0.9567246510933238,relative_to_all,NA,7,1.010149591064884,0.7104536732982842,1.4362684502584535,0.014568954667093683,-0.4931875164704686,0.5223254258046561
CX5461 (2.5h) - Unperturbed,all,7,0.7645647295792203,unnormalised,NA,NA,1.0060718997364917,0.9684605772032746,1.0451439028756069,0.008733412187811101,-0.04623477216199817,0.0637015965376204
CX5461 (2.5h) - Unperturbed,1,7,1.767307929534391e-7,unnormalised,NA,NA,0.46535957280004986,0.4322205362966353,0.5010394319811284,-1.103582210001876,-1.210160473616718,-0.9970039463870342
CX5461 (2.5h) - Unperturbed,1 - all,7,4.674569099350096e-7,relative_to_all,NA,7,0.4625510094476705,0.42453338807986873,0.5039731675964372,-1.1123156221896873,-1.236050073681377,-0.9885811706979971
CX5461 (2.5h) - Unperturbed,all,7,0.7814891150002063,unnormalised,NA,NA,1.0056534986149284,0.9678359510519555,1.0449487417544328,0.008133305202653023,-0.04716556459903079,0.06343217500433679
CX5461 (2.5h) - Unperturbed,2,7,0.21257835726492255,unnormalised,NA,NA,0.597269227210465,0.28595011961942085,1.2475271220287263,-0.7435467024138784,-1.8061645858339774,0.3190711810062205
CX5461 (2.5h) - Unperturbed,2 - all,7,0.19440179956284415,relative_to_all,NA,7,0.5939115490902932,0.29152648892159255,1.2099446930110709,-0.7516800076165312,-1.7783011181525472,0.27494110291948426
CX5461 (2.5h) - Unperturbed,all,7,0.7723671792223753,unnormalised,NA,NA,1.005870028381896,0.9682216174634163,1.0449823632813338,0.008443902039352217,-0.04659078930757279,0.06347859338627723
CX5461 (2.5h) - Unperturbed,3,7,0.1676913702132481,unnormalised,NA,NA,1.0835083094185953,0.9783018250061036,1.2000286890723302,0.1157102174934529,-0.03164846175324147,0.2630688967401475
CX5461 (2.5h) - Unperturbed,3 - all,7,0.1699760225921339,relative_to_all,NA,7,1.0771852017119876,0.9792954567708795,1.1848599426911988,0.10726631545410069,-0.030183903382668235,0.24471653429086979
CX5461 (2.5h) - Unperturbed,all,7,0.7793435542230343,unnormalised,NA,NA,1.0056933524856486,0.9679884939822742,1.044866881705253,0.008190477819722427,-0.046938195913700465,0.06331915155314514
