treatment,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
Meayamycin (12.5h) - Unperturbed,all,6,2.2709580775269743e-5,unnormalised,NA,NA,1.2213039965401007,1.1813161317909417,1.262645461129442,0.288422348329608,0.2403950957559305,0.33644960090328546
Meayamycin (12.5h) - Unperturbed,0,6,5.3398015295937774e-5,unnormalised,NA,NA,0.15070293139898064,0.1045477950562992,0.2172343617578519,-2.7302206150873873,-3.2577654595011145,-2.2026757706736606
Meayamycin (12.5h) - Unperturbed,0 - all,6,2.8178146769505658e-5,relative_to_all,NA,6,0.12339510214157595,0.08594529521540953,0.17716328967591888,-3.0186429634169953,-3.5404375233718537,-2.496848403462137
Meayamycin (12.5h) - Unperturbed,all,6,2.2658206424558994e-5,unnormalised,NA,NA,1.2212518744817529,1.1812895085473787,1.2625661449911847,0.2883607765670106,0.2403625814667858,0.33635897166723533
Meayamycin (12.5h) - Unperturbed,1,6,0.16953634720445426,unnormalised,NA,NA,1.0557665131342762,0.9862278017100051,1.130208384232371,0.07829081235883993,-0.020007171977547034,0.17658879669522723
Meayamycin (12.5h) - Unperturbed,1 - all,6,0.006776679839736482,relative_to_all,NA,6,0.8644953061646669,0.8055813052137177,0.927717822575924,-0.21006996420817053,-0.3118978911707784,-0.10824203724556276
Meayamycin (12.5h) - Unperturbed,all,6,2.1542443873643534e-5,unnormalised,NA,NA,1.2217047549194247,1.1819970669466646,1.2627463721617513,0.2888956762546809,0.24122645556049474,0.336564896948867
Meayamycin (12.5h) - Unperturbed,2,6,0.006020490516180545,unnormalised,NA,NA,3.5914867780856454,1.963091773510223,6.570644047934439,1.844581204307557,0.9731276196167138,2.7160347889984
Meayamycin (12.5h) - Unperturbed,2 - all,6,0.011899023481815381,relative_to_all,NA,6,2.9397338134470266,1.6241342438490947,5.321010209995157,1.555685528052876,0.699670884327928,2.4117001717778237
Meayamycin (12.5h) - Unperturbed,all,6,2.2812287407125163e-5,unnormalised,NA,NA,1.2214115380394206,1.1813721103168735,1.2628079943885526,0.28854937874773284,0.2404634585135164,0.3366352989819492
Meayamycin (12.5h) - Unperturbed,3,6,9.711357796382445e-5,unnormalised,NA,NA,1.7352050220608597,1.5415810256313036,1.9531483707463246,0.7951061336022002,0.6244107196133657,0.9658015475910348
Meayamycin (12.5h) - Unperturbed,3 - all,6,0.0011776385487704715,relative_to_all,NA,6,1.4206555022774452,1.2610595797085378,1.6004494066946866,0.5065567548544676,0.3346364384888929,0.6784770712200423
Meayamycin (12.5h) - Unperturbed,all,6,2.2039941112699917e-5,unnormalised,NA,NA,1.2219829345819413,1.1820671509844531,1.2632465855817803,0.2892241375576916,0.24131199460213806,0.33713628051324523
Meayamycin (12.5h) - Unperturbed,4,6,0.03278786071683168,unnormalised,NA,NA,1.194752830518083,1.053005724044494,1.3555807850201729,0.2567121855124511,0.07451327874554857,0.4389110922793534
Meayamycin (12.5h) - Unperturbed,4 - all,6,0.7494223045506174,relative_to_all,NA,6,0.9777164612587864,0.8567575324281033,1.1157526399648234,-0.03251195204524079,-0.22304112422239888,0.15801722013191735
Meayamycin (12.5h) - Unperturbed,all,6,2.4217244045323557e-5,unnormalised,NA,NA,1.2214402688386496,1.1809859735722403,1.2632803129980383,0.2885833143155423,0.23999183012208192,0.3371747985090028
Meayamycin (12.5h) - Unperturbed,5,6,2.6615427569065677e-4,unnormalised,NA,NA,4.781757432449704,3.197444730180787,7.151086593292002,2.2575409473063694,1.6769194214420986,2.83816247317064
Meayamycin (12.5h) - Unperturbed,5 - all,6,5.577949722029399e-4,relative_to_all,NA,6,3.914851634125521,2.6186052785638716,5.852758123828643,1.9689576329908267,1.3887986081513177,2.549116657830336
Meayamycin (12.5h) - Unperturbed,all,6,2.199210836269402e-5,unnormalised,NA,NA,1.2217155994685673,1.1818661081392354,1.2629087133523242,0.28890848238297623,0.2410666039885227,0.33675036077742965
Meayamycin (12.5h) - Unperturbed,6,6,0.8044450605409931,unnormalised,NA,NA,0.8972110363877289,0.39458575005203517,2.0400829064652903,-0.15648072809233654,-1.3415892389284652,1.0286277827437917
Meayamycin (12.5h) - Unperturbed,6 - all,6,0.4927806062019622,relative_to_all,NA,6,0.7343861671063264,0.32066138221492346,1.6819083068619702,-0.4453892104753126,-1.640877476816351,0.7500990558657255
Meayamycin (12.5h) - Unperturbed,all,6,2.169010268415978e-5,unnormalised,NA,NA,1.2217483682297385,1.181986150677693,1.2628481936241007,0.2889471777186682,0.24121313156818114,0.33668122386915506
Meayamycin (12.5h) - Unperturbed,7,6,0.08752383355573226,unnormalised,NA,NA,0.43362386959719357,0.1942457484536254,0.9679988456958918,-1.2054839202950445,-2.3640450728412272,-0.046922767748861866
Meayamycin (12.5h) - Unperturbed,7 - all,6,0.04297924478953899,relative_to_all,NA,6,0.35492076836206143,0.16052507081078257,0.7847294580122041,-1.4944310980137128,-2.6391294597842667,-0.3497327362431585
Meayamycin (12.5h) - Unperturbed,all,6,2.486439952326614e-5,unnormalised,NA,NA,1.2213833654721102,1.1807582583938214,1.263406217866504,0.28851610176398673,0.23971362594128062,0.33731857758669265
Meayamycin (12.5h) - Unperturbed,8,6,0.3387712997470944,unnormalised,NA,NA,1.1468757415104915,0.8856558573367896,1.4851411590281616,0.19770909072809073,-0.17518188071558966,0.5706000621717712
Meayamycin (12.5h) - Unperturbed,8 - all,6,0.6428808702082289,relative_to_all,NA,6,0.9389973483609557,0.7292422199277414,1.2090852615695686,-0.09080701103589596,-0.45553000537383637,0.2739159833020446
Meayamycin (12.5h) - Unperturbed,all,6,2.2524599172406416e-5,unnormalised,NA,NA,1.2211177498170036,1.1812215185727901,1.262361492296379,0.28820232308235855,0.2402795437174842,0.3361251024472331
Meayamycin (12.5h) - Unperturbed,9,6,0.7915945131464646,unnormalised,NA,NA,1.0705702790733087,0.659979247557896,1.736601153257565,0.09837950655245795,-0.5995074339253834,0.7962664470302994
Meayamycin (12.5h) - Unperturbed,9 - all,6,0.5981485109158673,relative_to_all,NA,6,0.8767133875776879,0.5514667480580513,1.3937855122989828,-0.18982281652990046,-0.8586541970272287,0.47900856396742764
