treatment,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
Triptolide (2.5h) - Unperturbed,all,6,0.033712943523638454,unnormalised,NA,NA,0.9556001318723238,0.9250603924519049,0.9871481035027447,-0.06552104200193412,-0.11238054001869188,-0.018661543985176488
Triptolide (2.5h) - Unperturbed,Cajal bodies,6,0.31818888413207086,unnormalised,NA,NA,0.7603830613849623,0.464302104995422,1.2452719766301041,-0.39520170062854043,-1.1068642732557312,0.31646087199865053
Triptolide (2.5h) - Unperturbed,Cajal bodies - all,6,0.39027721414867755,relative_to_all,NA,6,0.7957125957016463,0.4905101786289202,1.2908163021775896,-0.32968065862660617,-1.0276450206138907,0.36828370336067845
Triptolide (2.5h) - Unperturbed,all,6,0.033939364367198625,unnormalised,NA,NA,0.9558047678109368,0.9253449691023043,0.9872672189014918,-0.06521213073462338,-0.1119367914930433,-0.018487469976203368
Triptolide (2.5h) - Unperturbed,Nuclear periphery,6,0.2588674755206026,unnormalised,NA,NA,0.6085569661908996,0.2787904080355568,1.3283870980677301,-0.7165357769041787,-1.8427471696838573,0.40967561587549994
Triptolide (2.5h) - Unperturbed,Nuclear periphery - all,6,0.3092401663550846,relative_to_all,NA,6,0.6366958888316356,0.2870295762125761,1.4123340883689217,-0.6513236461695555,-1.800728691586556,0.49808139924744516
Triptolide (2.5h) - Unperturbed,all,6,0.035253117496432035,unnormalised,NA,NA,0.9557737753600014,0.9249766184968334,0.9875963255702963,-0.06525891160630994,-0.1125111971557162,-0.018006626056903608
Triptolide (2.5h) - Unperturbed,Nuclear speckles,6,1.7810384014344522e-4,unnormalised,NA,NA,1.5694437563695838,1.409041510407655,1.7481058479922609,0.6502533284672709,0.49471411411534666,0.8057925428191955
Triptolide (2.5h) - Unperturbed,Nuclear speckles - all,6,1.6422597783098154e-4,relative_to_all,NA,6,1.6420661424597445,1.4608783268024697,1.8457260722830975,0.7155122400735809,0.5468360243915598,0.8841884557556021
Triptolide (2.5h) - Unperturbed,all,6,0.03787561200304767,unnormalised,NA,NA,0.955657271875895,0.9241661203874871,0.988221490857461,-0.0654347787914933,-0.11377589311811631,-0.017093664464870217
Triptolide (2.5h) - Unperturbed,Nucleolus,6,0.005402658497845876,unnormalised,NA,NA,0.8363170142878469,0.7700854679816301,0.9082448344604044,-0.2578781809932357,-0.37690952259860827,-0.13884683938786294
Triptolide (2.5h) - Unperturbed,Nucleolus - all,6,0.015331136023192226,relative_to_all,NA,6,0.8751223256494551,0.8095097859424604,0.9460529052882215,-0.19244340220174236,-0.30487957390822706,-0.08000723049525776
Triptolide (2.5h) - Unperturbed,all,6,0.036169607184557,unnormalised,NA,NA,0.9557812454671089,0.9247717257229358,0.9878305789166725,-0.06524763587910203,-0.11283080581053545,-0.01766446594766845
Triptolide (2.5h) - Unperturbed,Nucleoplasm,6,0.01103027313253239,unnormalised,NA,NA,0.7298484957626117,0.6155827790263578,0.8653244452508295,-0.45433107897219355,-0.6999752221568866,-0.20868693578750028
Triptolide (2.5h) - Unperturbed,Nucleoplasm - all,6,0.010416773058374488,relative_to_all,NA,6,0.7636145814996825,0.6612635406860883,0.881807620111548,-0.38908344309309156,-0.596702735308096,-0.18146415087808687
Triptolide (2.5h) - Unperturbed,all,6,0.034218601134612094,unnormalised,NA,NA,0.9555369243111556,0.9248316898432085,0.9872615998666926,-0.06561647130124301,-0.112737261499089,-0.01849568110339726
Triptolide (2.5h) - Unperturbed,PML bodies,6,0.6751952676045909,unnormalised,NA,NA,0.9342279831622309,0.6900828645114383,1.2647494517071913,-0.0981534357000708,-0.5351584851098736,0.33885161370973205
Triptolide (2.5h) - Unperturbed,PML bodies - all,6,0.8924812923385506,relative_to_all,NA,6,0.9776995104984706,0.7145956564574577,1.337674423558236,-0.0325369643988277,-0.4848009501026207,0.41972702130496525
