treatment,reference_level,df,p.value,comparison,channel,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl,cluster
AZD4573 (2.5h),Unperturbed,6,0.08539069053740125,unnormalised,NA,0.892289673246217,0.8004797781357398,0.9946295743236501,-0.16441595165523457,-0.3210631373073315,-0.0077687660031376124,all
AZD4573 (2.5h),Unperturbed,6,0.01305219093972484,unnormalised,NA,0.43800888264220267,0.275353747959954,0.696746576703117,-1.1909679674949,-1.8606418491135184,-0.521294085876282,Cajal bodies
AZD4573 (2.5h),Unperturbed,6,0.08083183476851495,unnormalised,NA,0.40824985857051593,0.17670427738120606,0.9432026745073732,-1.2924757088913306,-2.500591132066509,-0.08436028571615242,Nuclear periphery
AZD4573 (2.5h),Unperturbed,6,2.1386487042442578e-4,unnormalised,NA,1.5313270779332706,1.3782172590111825,1.7014462736405351,0.6147824626644138,0.46280332911031746,0.7667615962185101,Nuclear speckles
AZD4573 (2.5h),Unperturbed,6,7.96075400563161e-6,unnormalised,NA,0.6086963832458159,0.5680952034869821,0.6521992875530895,-0.716205301256335,-0.8157953727469727,-0.6166152297656973,Nucleolus
AZD4573 (2.5h),Unperturbed,6,0.0607805122114314,unnormalised,NA,1.1709230885902218,1.023831404130892,1.3391471231120595,0.22764631635701243,0.03397816411730432,0.42131446859672067,Nucleoplasm
AZD4573 (2.5h),Unperturbed,6,0.14037943414237466,unnormalised,NA,1.23091731488061,0.9684889492426438,1.5644550588395876,0.29973385409031694,-0.0461925075599092,0.6456602157405428,PML bodies
AZD4573 (2.5h),Unperturbed,6,0.00631209419881677,relative_to_all,NA,0.3907999042671705,0.2495712407317765,0.6119477738196941,-1.3554979809927716,-2.002476399646123,-0.7085195623394205,Cajal bodies
AZD4573 (2.5h),Unperturbed,6,0.06065740789810735,relative_to_all,NA,0.36661825929350855,0.15621073579231556,0.8604334866337285,-1.4476494543009104,-2.6784344868486456,-0.21686442175317566,Nuclear periphery
AZD4573 (2.5h),Unperturbed,6,0.0016229452600666357,relative_to_all,NA,1.3697093127110385,1.2225869679975905,1.5345359065949433,0.45386974894643894,0.2899370940823578,0.6178024038105201,Nuclear speckles
AZD4573 (2.5h),Unperturbed,6,3.0739648233324156e-6,relative_to_all,NA,0.5431202997448216,0.5053019799709033,0.5837690563015221,-0.8806563082338414,-0.9847822618766641,-0.7765303545910186,Nucleolus
AZD4573 (2.5h),Unperturbed,6,0.4722505169404452,relative_to_all,NA,1.0449072967054047,0.9339383542961514,1.169061377215886,0.06337495329565483,-0.0986007685994607,0.22535067519077048,Nucleoplasm
AZD4573 (2.5h),Unperturbed,6,0.4761195918983835,relative_to_all,NA,1.09819898719129,0.8624828816093426,1.3983361770816523,0.13513948587689745,-0.21343227215254937,0.4837112439063444,PML bodies
