siRNA,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
SBF2 - scrambled,Nucleus (combined),4,0.13631405759790288,unnormalised,01_CDK9_pT186,NA,1.1782856129325827,0.9912718843660732,1.4005814222520578,0.23668928655146448,-0.01264728325824627,0.48602585636117535
SBF2 - scrambled,17,4,0.2227127850705485,unnormalised,01_CDK9_pT186,NA,0.8879266796414637,0.7554749232771508,1.0436002097846995,-0.17148754363278323,-0.40454422654441174,0.06156913927884512
SBF2 - scrambled,17 - Nucleus (combined),4,1.7251827296930917e-5,relative_to_Nucleus (combined),01_CDK9_pT186,4,0.7535750839149622,0.7365147833606439,0.7710305616762818,-0.4081768301842477,-0.4412136114904061,-0.3751400488780894
SBF2 - scrambled,Nucleus (combined),4,0.13650444006851614,unnormalised,01_CDK9_pT186,NA,1.1782326909124723,0.9911632239888837,1.4006091432125363,0.23662448727886357,-0.012805436013722303,0.4860544105714496
SBF2 - scrambled,7,4,0.006607868136326136,unnormalised,01_CDK9_pT186,NA,0.8256941697889196,0.7679694054391993,0.8877578419071402,-0.2763205764761051,-0.38087925724866056,-0.17176189570354963
SBF2 - scrambled,7 - Nucleus (combined),4,0.004591267258392112,relative_to_Nucleus (combined),01_CDK9_pT186,4,0.7007904093625749,0.620550913189449,0.7914051650176757,-0.5129450637549687,-0.6883785135524345,-0.337511613957503
SBF2 - scrambled,Nucleus (combined),4,0.1382808870303203,unnormalised,01_CDK9_pT186,NA,1.178151350429533,0.990132938353278,1.4018729715500902,0.23652488593260768,-0.014305855930153688,0.48735562779536906
SBF2 - scrambled,16,4,0.31694495325075067,unnormalised,01_CDK9_pT186,NA,0.9172052998967829,0.7908318754334819,1.0637729564170906,-0.12468340360503292,-0.33855707308297955,0.08919026587291348
SBF2 - scrambled,16 - Nucleus (combined),4,0.0021176212830558453,relative_to_Nucleus (combined),01_CDK9_pT186,4,0.7785122849983461,0.7262728932396202,0.8345091542517211,-0.3612082895376406,-0.4614163596848693,-0.2610002193904121
SBF2 - scrambled,Nucleus (combined),4,0.13734358263595184,unnormalised,01_CDK9_pT186,NA,1.1785466201507606,0.9906591412443174,1.402068661198808,0.23700882887234345,-0.013539344061410394,0.48755700180609707
SBF2 - scrambled,8,4,0.2769303911907861,unnormalised,01_CDK9_pT186,NA,1.0998680251181279,0.9482321611847693,1.2757526291512598,0.1373304229041994,-0.07668776911380148,0.3513486149222
SBF2 - scrambled,8 - Nucleus (combined),4,0.021776658609993813,relative_to_Nucleus (combined),01_CDK9_pT186,4,0.9332409989665338,0.899249077160696,0.9685178270095872,-0.09967840596814406,-0.15320732106756968,-0.046149490868718425
SBF2 - scrambled,Nucleus (combined),4,0.13690638580595943,unnormalised,01_CDK9_pT186,NA,1.178862132282697,0.9908995040092279,1.4024791831131698,0.23739500525379031,-0.013189346677803243,0.48797935718538366
SBF2 - scrambled,1,4,0.5715864890929061,unnormalised,01_CDK9_pT186,NA,1.0513832062055235,0.8963007919880495,1.2332987498975068,0.07228859596925166,-0.15794512344606487,0.30252231538456853
SBF2 - scrambled,1 - Nucleus (combined),4,9.602482589726063e-4,relative_to_Nucleus (combined),01_CDK9_pT186,4,0.8918627356107123,0.8691675808598411,0.9151504919041495,-0.1651064092845385,-0.2022937305441701,-0.12791908802490687
SBF2 - scrambled,Nucleus (combined),4,0.13656998724421443,unnormalised,01_CDK9_pT186,NA,1.178360679918077,0.9911191507272973,1.4009757464156223,0.23678119577693657,-0.012869588605449884,0.4864319801593232
SBF2 - scrambled,18,4,0.6140459576721469,unnormalised,01_CDK9_pT186,NA,1.0586983635232057,0.8626990300629295,1.299227408247989,0.08229160591574529,-0.21307076093844787,0.3776539727699386
SBF2 - scrambled,18 - Nucleus (combined),4,0.005507017621797087,relative_to_Nucleus (combined),01_CDK9_pT186,4,0.8984501787659864,0.8645075026492419,0.9337255272521848,-0.15448958986119135,-0.21004961050171808,-0.0989295692206646
SBF2 - scrambled,Nucleus (combined),4,0.9118278968574953,unnormalised,01_PABPC1,NA,0.989193939762157,0.8257383493370737,1.185005699744658,-0.015674693717805797,-0.276243385777354,0.2448939983417426
SBF2 - scrambled,17,4,0.5874581813206228,unnormalised,01_PABPC1,NA,1.0587607301620603,0.875576005358282,1.2802706753876851,0.08237659083081336,-0.19169567602969415,0.3564488576913209
SBF2 - scrambled,17 - Nucleus (combined),4,0.004203856059281784,relative_to_Nucleus (combined),01_PABPC1,4,1.070326745447541,1.0463155794977554,1.0948889268859276,0.09805128454861918,0.06531804882214655,0.13078452027509171
SBF2 - scrambled,Nucleus (combined),4,0.9080169555042392,unnormalised,01_PABPC1,NA,0.9888355961273051,0.826889309081674,1.1824990665973931,-0.016197416539897695,-0.27423387785728315,0.24183904477748777
SBF2 - scrambled,7,4,0.5967516323013331,unnormalised,01_PABPC1,NA,1.06274878858271,0.8633135638271764,1.3082558122069712,0.08780061446359647,-0.21204343952174526,0.38764466844893786
SBF2 - scrambled,7 - Nucleus (combined),4,0.023052156264072296,relative_to_Nucleus (combined),01_PABPC1,4,1.0747477060341273,1.03322217462268,1.1179421619047625,0.10399803100349396,0.0471505114749385,0.1608455505320494
SBF2 - scrambled,Nucleus (combined),4,0.9115742808679945,unnormalised,01_PABPC1,NA,0.9892032203179184,0.8263049342017729,1.1842153793170955,-0.015661158506530753,-0.27525381218114464,0.24393149516808296
SBF2 - scrambled,16,4,0.512912207366029,unnormalised,01_PABPC1,NA,1.0718332515164175,0.8867340696689947,1.2955705192257885,0.10008047862938858,-0.17342658776014683,0.37358754501892405
SBF2 - scrambled,16 - Nucleus (combined),4,0.008097344417112932,relative_to_Nucleus (combined),01_PABPC1,4,1.0835319067925626,1.0492502513928235,1.1189336304461683,0.11574163713591941,0.06935880888323279,0.1621244653886062
SBF2 - scrambled,Nucleus (combined),4,0.8986525848126174,unnormalised,01_PABPC1,NA,0.9878106097813151,0.8273970657315538,1.1793247054046465,-0.017693630527468418,-0.27334825365712445,0.23796099260218778
SBF2 - scrambled,8,4,0.2771083217157054,unnormalised,01_PABPC1,NA,1.1054163280727465,0.9455074064385219,1.2923698429529822,0.14458982782899796,-0.0808393356120867,0.37001899127008286
SBF2 - scrambled,8 - Nucleus (combined),4,0.0011799909479569297,relative_to_Nucleus (combined),01_PABPC1,4,1.1190569499121572,1.0895315262761736,1.1493824886617106,0.16228345835646651,0.12370794234115372,0.20085897437177921
SBF2 - scrambled,Nucleus (combined),4,0.9097187785800983,unnormalised,01_PABPC1,NA,0.9890061911871523,0.8265422394172143,1.183403823253109,-0.015948542591505493,-0.27483954634300645,0.24294246115999538
SBF2 - scrambled,1,4,0.843723560214034,unnormalised,01_PABPC1,NA,1.0192385893686138,0.8533753463264369,1.2173392476477018,0.027491805584407506,-0.22874766263091723,0.2837312737997322
SBF2 - scrambled,1 - Nucleus (combined),4,0.006861866201086629,relative_to_Nucleus (combined),01_PABPC1,4,1.0305684620084856,1.0187694785561505,1.0425040966006895,0.04344034817591304,0.02682764348870979,0.060053052863116
SBF2 - scrambled,Nucleus (combined),4,0.9112426124585463,unnormalised,01_PABPC1,NA,0.9891601299716776,0.8262333858212949,1.1842147503553087,-0.015724004625098986,-0.27537873817228564,0.2439307289220878
SBF2 - scrambled,18,4,0.655357363633685,unnormalised,01_PABPC1,NA,1.0438096744320022,0.8766233579443822,1.2428811376789357,0.061858678588977256,-0.189970974384858,0.31368833156281267
SBF2 - scrambled,18 - Nucleus (combined),4,0.0017157877728889582,relative_to_Nucleus (combined),01_PABPC1,4,1.0552484302636516,1.0404657280029803,1.0702411618220173,0.07758268321407635,0.05722944479025521,0.09793592163789758
SBF2 - scrambled,Nucleus (combined),4,0.08621207979481342,unnormalised,02_CDK7,NA,1.1035968221156431,1.01336012387983,1.2018688293365047,0.14221320746837307,0.019146964471710746,0.26527945046503565
SBF2 - scrambled,17,4,0.9201364800253851,unnormalised,02_CDK7,NA,1.003877991334228,0.9350068438580251,1.0778220802395195,0.005583938618164974,-0.0969511699256998,0.10811904716202979
SBF2 - scrambled,17 - Nucleus (combined),4,0.0013051955948741871,relative_to_Nucleus (combined),02_CDK7,4,0.9096419736056779,0.8888563133143758,0.9309137008430924,-0.13662926885020824,-0.16997787360841493,-0.10328066409200147
SBF2 - scrambled,Nucleus (combined),4,0.07848406022738583,unnormalised,02_CDK7,NA,1.1025014284764538,1.0163405969404795,1.1959665917623539,0.1407805250386334,0.023383960350574263,0.25817708972669284
SBF2 - scrambled,7,4,7.615419272370152e-4,unnormalised,02_CDK7,NA,0.7114170799876326,0.6618635702006577,0.7646806449019253,-0.4912324832685162,-0.59539422963653,-0.38707073690050237
SBF2 - scrambled,7 - Nucleus (combined),4,0.0013238407017117843,relative_to_Nucleus (combined),02_CDK7,4,0.6452754269631554,0.5796075844017937,0.7183832438497573,-0.6320130083071498,-0.7868516216155955,-0.47717439499870407
SBF2 - scrambled,Nucleus (combined),4,0.07187121148932582,unnormalised,02_CDK7,NA,1.1025967232289091,1.01911822250316,1.192913154951812,0.14090521904989023,0.027321420616409905,0.25448901748337027
SBF2 - scrambled,16,4,0.27772876281731984,unnormalised,02_CDK7,NA,0.9517612944195103,0.8810500196245863,1.028147711682797,-0.07132830973593199,-0.18270416766465694,0.040047548192793096
SBF2 - scrambled,16 - Nucleus (combined),4,2.8940197051643024e-4,relative_to_Nucleus (combined),02_CDK7,4,0.8631998212658537,0.8424676325684913,0.8844422060011013,-0.2122335287858222,-0.24730683557202834,-0.17716022199961604
SBF2 - scrambled,Nucleus (combined),4,0.08335164020768167,unnormalised,02_CDK7,NA,1.1031239315054382,1.0144491736482955,1.199549903405907,0.14159488097867157,0.020696584402163917,0.26249317755517954
SBF2 - scrambled,8,4,0.587638204776064,unnormalised,02_CDK7,NA,1.020423819960365,0.9540087115792916,1.0914625408595755,0.02916848156928689,-0.06792565455295001,0.1262626176915239
SBF2 - scrambled,8 - Nucleus (combined),4,0.008201373966953947,relative_to_Nucleus (combined),02_CDK7,4,0.9250309877402333,0.8964876074777377,0.9544831642314929,-0.11242639940938479,-0.1576444546313957,-0.06720834418737376
SBF2 - scrambled,Nucleus (combined),4,0.09145937947029208,unnormalised,02_CDK7,NA,1.1042412080967603,1.0113475845215134,1.2056672348071988,0.14305534577113962,0.016278914435630298,0.2698317771066492
SBF2 - scrambled,1,4,0.4822879853584506,unnormalised,02_CDK7,NA,1.0318208014972954,0.9531072246129514,1.1170350396146331,0.04519243661435664,-0.06928956835383734,0.15967444158255084
SBF2 - scrambled,1 - Nucleus (combined),4,7.834398135174532e-4,relative_to_Nucleus (combined),02_CDK7,4,0.9344161347462421,0.9209742339255202,0.9480542242235173,-0.0978629091567828,-0.11876730025137969,-0.07695851806218597
SBF2 - scrambled,Nucleus (combined),4,0.07845919239210117,unnormalised,02_CDK7,NA,1.1031595748828045,1.0164516188399617,1.1972641147883478,0.14164149558973352,0.023541547282213315,0.25974144389725373
SBF2 - scrambled,18,4,0.37348601589822844,unnormalised,02_CDK7,NA,1.0597066001706557,0.9459547896798638,1.187137155704128,0.08366488264618942,-0.08015686086104838,0.24748662615342748
SBF2 - scrambled,18 - Nucleus (combined),4,0.10625961278308751,relative_to_Nucleus (combined),02_CDK7,4,0.9606104359681916,0.9248817213037474,0.9977193714999851,-0.05797661294354398,-0.11265921682515145,-0.003294009061936451
SBF2 - scrambled,Nucleus (combined),4,0.024229607277781996,unnormalised,02_RPS6_pS235_S236,NA,0.718963680859208,0.598614533871547,0.8635085604278719,-0.47600920150754755,-0.740300788169856,-0.21171761484523924
SBF2 - scrambled,17,4,0.0281324823315604,unnormalised,02_RPS6_pS235_S236,NA,0.753550271636543,0.6391007145802171,0.888495348118149,-0.4082243332680488,-0.6458847944255404,-0.1705638721105571
SBF2 - scrambled,17 - Nucleus (combined),4,0.06640251931984513,relative_to_Nucleus (combined),02_RPS6_pS235_S236,4,1.0481061723952478,1.010277116496984,1.0873517084322641,0.06778486823949888,0.014751074917270228,0.12081866156172759
SBF2 - scrambled,Nucleus (combined),4,0.030380418356599916,unnormalised,02_RPS6_pS235_S236,NA,0.719929810294959,0.59172929896093,0.8759054734343268,-0.4740718373261902,-0.756990764242309,-0.19115291041007124
SBF2 - scrambled,7,4,0.06009441291556945,unnormalised,02_RPS6_pS235_S236,NA,0.7149326476070138,0.5551042305408282,0.9207796707230838,-0.4841207600456465,-0.8491694067292905,-0.11907211336200245
SBF2 - scrambled,7 - Nucleus (combined),4,0.8326382948750538,relative_to_Nucleus (combined),02_RPS6_pS235_S236,4,0.9930588196009027,0.9347238091325244,1.0550344492694101,-0.010048922719456439,-0.09738795240808051,0.07729010696916751
SBF2 - scrambled,Nucleus (combined),4,0.021479892546142385,unnormalised,02_RPS6_pS235_S236,NA,0.7168472075995199,0.5999541332009177,0.856515341100484,-0.4802624464328019,-0.7370758847211178,-0.22344900814448587
SBF2 - scrambled,16,4,0.03144827622003149,unnormalised,02_RPS6_pS235_S236,NA,0.787987994255737,0.6824442307302122,0.9098546828167811,-0.3437544458651751,-0.5512169409228267,-0.1362919508075235
SBF2 - scrambled,16 - Nucleus (combined),4,0.03973488886415195,relative_to_Nucleus (combined),02_RPS6_pS235_S236,4,1.0992412133325364,1.0334588241303817,1.169210825700341,0.13650800056762677,0.04748090893142869,0.22553509220382514
SBF2 - scrambled,Nucleus (combined),4,0.02406755446748019,unnormalised,02_RPS6_pS235_S236,NA,0.7171773056725683,0.5965349005204813,0.8622182663964774,-0.4795982585378284,-0.7453215490290607,-0.21387496804659614
SBF2 - scrambled,8,4,0.0645342314726369,unnormalised,02_RPS6_pS235_S236,NA,0.8128620281392979,0.6924048491994088,0.9542750567889824,-0.2989175989355686,-0.5303122663534611,-0.06752293151767604
SBF2 - scrambled,8 - Nucleus (combined),4,0.0015695492422639888,relative_to_Nucleus (combined),02_RPS6_pS235_S236,4,1.1334185029418862,1.0976241167677043,1.1703801722160052,0.18068065960225987,0.1343840855655392,0.22697723363898045
SBF2 - scrambled,Nucleus (combined),4,0.023821955868388034,unnormalised,02_RPS6_pS235_S236,NA,0.7175375703267637,0.5973537527722873,0.861901615987171,-0.47887372148920077,-0.7433425466072078,-0.21440489637119337
SBF2 - scrambled,1,4,0.02526985625763267,unnormalised,02_RPS6_pS235_S236,NA,0.74130155764021,0.6263975915130907,0.8772830655884113,-0.43186755207168537,-0.6748494293829301,-0.18888567476044058
SBF2 - scrambled,1 - Nucleus (combined),4,0.08420680543601579,relative_to_Nucleus (combined),02_RPS6_pS235_S236,4,1.0331188056154668,1.0046605179089179,1.0623832105374849,0.04700616941751553,0.006708086609944973,0.0873042522250859
SBF2 - scrambled,Nucleus (combined),4,0.021910772263643363,unnormalised,02_RPS6_pS235_S236,NA,0.7160035243107341,0.5982098737647655,0.8569919510004378,-0.48196140615047706,-0.7412763718023769,-0.22264644049857713
SBF2 - scrambled,18,4,0.030102666546458923,unnormalised,02_RPS6_pS235_S236,NA,0.7399492935552248,0.6185509347321761,0.8851735989534101,-0.43450168420370466,-0.6930356957084551,-0.1759676726989541
SBF2 - scrambled,18 - Nucleus (combined),4,0.042392821953872215,relative_to_Nucleus (combined),02_RPS6_pS235_S236,4,1.0334436471769355,1.011025614307546,1.0563587675489767,0.047459721946772185,0.015819548345140058,0.0790998955484044
SBF2 - scrambled,Nucleus (combined),4,0.0110637410920862,unnormalised,03_CDK9,NA,1.2589310382450465,1.1380638119714999,1.392634878980267,0.33219925723740057,0.18658145275329815,0.47781706172150323
